task,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
no_c_before_first_b,True,2,2,1,0,0.996262,0.996262,1.0,0.5,0,1,152.1
no_c_before_first_b,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,104.5
no_c_before_first_b,True,2,3,1,0,0.996262,0.996262,1.0,0.5,0,5,211.3
no_c_before_first_b,True,2,3,2,1,1.0,1.0,1.0,0.5,0,3,260.6
no_c_before_first_b,True,3,1,1,0,0.996262,0.996262,1.0,0.5,0,3,153.3
no_c_before_first_b,True,3,1,2,1,1.0,1.0,1.0,0.5,0,3,165.1
no_c_before_first_b,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,69.8
no_c_before_first_b,True,3,2,2,2,1.0,1.0,1.0,0.5,0,6,393.2
no_c_before_first_b,True,3,3,1,0,0.996262,0.996262,1.0,0.5,0,6,272.8
no_c_before_first_b,True,3,3,2,0,0.999377,0.999377,1.0,0.5,0,8,544.5
starts_ab,True,1,1,1,1,0.625611,0.625611,0.5,0.5,0,1,81.3
starts_ab,True,1,1,2,2,0.625611,0.625611,0.5,0.5,0,1,92.6
starts_ab,True,1,2,1,0,0.625611,0.625611,0.5,0.5,0,2,116.6
starts_ab,True,1,2,2,0,0.718475,0.718475,0.6655,0.5,0,2,103.8
starts_ab,True,1,3,1,2,0.625611,0.625611,0.5,0.5,0,3,145.1
starts_ab,True,1,3,2,0,0.625611,0.625611,0.5,0.5,0,3,176.8
starts_ab,True,2,1,1,0,0.625611,0.625611,0.5,0.5,0,2,122.5
starts_ab,True,2,1,2,0,0.796676,0.796676,0.831,0.5,0,2,152.0
starts_ab,True,2,2,1,0,0.999022,0.999022,1.0,0.5,0,4,183.3
starts_ab,True,2,2,2,2,0.801564,0.801564,0.831,0.5,0,4,238.3
starts_ab,True,2,3,1,0,0.999022,0.999022,1.0,0.5,0,6,210.6
starts_ab,True,2,3,2,0,0.625611,0.625611,0.5,0.5,0,6,327.7
starts_ab,True,3,1,1,1,0.796676,0.796676,0.831,0.5,0,3,149.0
starts_ab,True,3,1,2,1,1.0,1.0,1.0,0.5,0,3,134.5
starts_ab,True,3,2,1,1,0.999022,0.999022,1.0,0.5,0,6,210.4
starts_ab,True,3,2,2,2,0.999022,0.999022,1.0,0.5,0,6,329.4
starts_ab,True,3,3,1,0,0.999022,0.999022,1.0,0.5,0,7,249.5
starts_ab,True,3,3,2,0,0.625611,0.625611,0.5,0.5,0,9,393.6
